X,Y,SP_ID,id,latitude,longitude
92.050371277039716,25.474892006013558,2868,2868,25.4748920000,92.0503712000
92.910392506574823,24.960479073982413,2869,2869,24.9604790000,92.9103925000
93.402579906101423,25.280207574291655,2870,2870,25.2802075000,93.4025799000
94.297580330304967,25.403657724635057,2871,2871,25.4036577000,94.2975803000
95.055750348202594,24.920357968261726,2872,2872,24.9203579000,95.0557503000
95.974531239414901,25.149523614269395,2873,2873,25.1495236000,95.9745312000
96.459079009765858,24.774687263083479,2874,2874,24.7746872000,96.4590790000
97.786034110751487,25.058064915430332,2875,2875,25.0580649000,97.7860341000
98.741708319239919,25.079656897150819,2876,2876,25.0796568000,98.7417083000
103.989956244938625,25.648969472861864,2877,2877,25.6489694000,103.9899560000
106.924093780710223,25.566797106346069,2878,2878,25.5667971000,106.9240930000
108.267284845723324,25.327981365210828,2879,2879,25.3279813000,108.2672840000
108.846669373282154,24.878732474450956,2880,2880,24.8787324000,108.8466690000
109.570553983263977,24.950352230693799,2881,2881,24.9503522000,109.5705530000
110.31135772149139,24.97142122441312,2882,2882,24.9714212000,110.3113570000
111.240596627914542,24.912010649653961,2883,2883,24.9120106000,111.2405960000
112.345054647308615,25.230153240486171,2884,2884,25.2301532000,112.3450540000
112.899667628628535,25.279074482804848,2885,2885,25.2790744000,112.8996670000
113.953961205016427,25.058945195269633,2886,2886,25.0589451000,113.9539610000
114.334728333713983,25.429258637468301,2887,2887,25.4292586000,114.3347280000
115.690960620552303,25.007016906451533,2888,2888,25.0070169000,115.6909600000
116.119037055607976,25.607046398529988,2889,2889,25.6070463000,116.1190370000
117.262180805448153,25.076095207293751,2890,2890,25.0760952000,117.2621800000
118.087656154446194,24.797132484681502,2891,2891,24.7971324000,118.0876560000
118.277597511626155,25.194714114287876,2892,2892,25.1947141000,118.2775970000
-9.500228163545678,26.167653801554746,2893,2893,26.1676538000,-9.5002281000
-8.885508616895851,26.217438903880478,2894,2894,26.2174389000,-8.8855086000
-8.304454806985357,26.272848432613461,2895,2895,26.2728484000,-8.3044548000
-7.412880626013336,25.950828378669268,2896,2896,25.9508283000,-7.4128806000
-6.912825265505618,26.371603142684322,2897,2897,26.3716031000,-6.9128252000
-5.75670762163664,26.543068811253431,2898,2898,26.5430688000,-5.7567076000
-4.100090412650577,26.392096663497924,2899,2899,26.3920966000,-4.1000904000
-3.171426096830714,26.420691048176636,2900,2900,26.4206910000,-3.1714260000
-2.429206850282445,25.664450212166678,2901,2901,25.6644502000,-2.4292068000
-1.839274468500822,26.352196306814655,2902,2902,26.3521963000,-1.8392744000
-0.774044317178996,26.03115131879294,2903,2903,26.0311513000,-0.7740443000
0.136858238892376,26.037571582572497,2904,2904,26.0375715000,0.1368582300
0.282966680550966,26.521054346093877,2905,2905,26.5210543000,0.2829666800
1.830620644387407,25.853574750653546,2906,2906,25.8535747000,1.8306206400
2.635436809126045,25.892874948403502,2907,2907,25.8928749000,2.6354368000
2.910422948026172,26.270057791765204,2908,2908,26.2700577000,2.9104229400
3.744670766232617,26.122363732478412,2909,2909,26.1223637000,3.7446707600
5.067115428327522,25.690561705006058,2910,2910,25.6905617000,5.0671154200
5.376753203831875,26.055471749565694,2911,2911,26.0554717000,5.3767532000
6.57379877005686,26.078172636662792,2912,2912,26.0781726000,6.5737987700
7.087690639158404,26.214585717742818,2913,2913,26.2145857000,7.0876906300
7.799290568758735,25.929603043686772,2914,2914,25.9296030000,7.7992905600
8.994046506139792,26.181824937560915,2915,2915,26.1818249000,8.9940465000
9.209499588378177,25.810373607733197,2916,2916,25.8103736000,9.2094995800
10.135412046455972,25.810670061413447,2917,2917,25.8106700000,10.1354120000
13.799992555794743,25.665416138118701,2918,2918,25.6654161000,13.7999925000
14.73997099510221,26.013392056601607,2919,2919,26.0133920000,14.7399709000
15.370905437959843,25.991465752776623,2920,2920,25.9914657000,15.3709054000
15.705593987813256,25.873028061085428,2921,2921,25.8730280000,15.7055939000
16.708598238748952,25.702219270940997,2922,2922,25.7022192000,16.7085982000
17.311210917972737,25.948488992466778,2923,2923,25.9484889000,17.3112109000
18.661599357293372,26.44524033881282,2924,2924,26.4452403000,18.6615993000
19.508327091193269,25.788794040857624,2925,2925,25.7887940000,19.5083270000
