id,gef_id,longitude,latitude,project_location_id
105,5775,39.410168,8.908477,906001152961_337996
106,5750,80.660168,7.658761,906001152963_1227603
107,5750,107.743498,16.072629,906001152963_1562822
108,3316,-72.506501,18.904514,906001152965_3723988
109,3176,125.660168,-8.924835,906001152967_1966436
110,3196,-172.22316,-13.893072,906001152969_4034894
111,3221,23.410168,-2.590524,906001152973_203312
112,3222,20.910168,6.908911,906001152975_239880
113,2175,70.910168,38.884338,906001152979_1220409
114,2175,74.910168,41.380067,906001152979_1527747
115,2175,59.576838,39.633113,906001152979_1218197
116,2175,67.910168,47.866013,906001152979_1522867
117,2175,63.743498,41.546433,906001152979_1512440
118,2560,74.910168,41.380067,906001152983_1527747
119,3234,70.910168,38.884338,906001152989_1220409
120,5823,89.910168,23.90126,906001152997_1210997
121,3356,16.910168,-22.097388,906001153001_3355338
122,3360,55.576838,-4.674055,906001153005_241170
123,3480,44.355698,-12.325828,906001153009_921929
124,3362,38.910168,14.906477,906001153011_338010
125,2794,39.410168,8.908477,906001153013_337996
126,3368,-15.589831,13.407079,906001153015_2413451
127,2402,-1.289832,8.008686,906001153017_2300660
128,2355,37.910168,0.909551,906001153019_192950
129,3372,28.160168,-29.603622,906001153021_932692
130,3376,33.910168,-13.592956,906001153027_927384
131,3375,33.910168,-13.592956,906001153029_927384
132,3377,-2.089831,17.905055,906001153031_2453866
133,3382,8.910168,17.905055,906001153035_2440476
134,3403,23.910168,-22.097388,906001153055_933860
135,3403,16.910168,-22.097388,906001153055_3355338
136,3403,23.910168,-29.103126,906001153055_953987
137,3401,34.910168,-18.345127,906001153057_1036973
138,3401,-1.289832,8.008686,906001153057_2300660
139,3401,32.410168,1.159544,906001153057_226074
140,3401,7.910168,9.908218,906001153057_2328926
141,3401,33.910168,-13.592956,906001153057_927384
142,3401,-14.339831,14.406685,906001153057_2245662
143,3401,29.910168,-3.590606,906001153057_433561
144,3401,-5.589831,7.908708,906001153057_2287781
145,3401,23.410168,-2.590524,906001153057_203312
146,3401,37.910168,0.909551,906001153057_192950
147,3401,34.910168,-6.090929,906001153057_149590
148,3401,29.910168,-2.090493,906001153057_49518
149,3398,29.910168,15.906036,906001153061_366755
150,3398,29.910168,26.898825,906001153061_357994
151,3398,39.410168,8.908477,906001153061_337996
152,3395,-9.589832,6.409002,906001153063_2275384
153,3395,2.160168,9.408351,906001153063_2395170
154,3395,20.910168,6.908911,906001153063_239880
155,3395,47.910168,5.909086,906001153063_51537
156,3395,55.576838,-4.674055,906001153063_241170
157,3395,44.355698,-12.325828,906001153063_921929
158,3395,29.910168,-2.090493,906001153063_49518
159,3395,29.660168,-19.095539,906001153063_878675
160,3395,12.410168,5.909086,906001153063_2233387
161,3395,23.910168,-29.103126,906001153063_953987
162,3395,37.910168,0.909551,906001153063_192950
163,3395,31.410168,-26.600828,906001153063_934841
164,3395,18.410168,-12.59259,906001153063_3351879
165,3395,15.410168,-1.090452,906001153063_2260494
166,3395,-1.756501,12.407441,906001153063_2361809
167,3395,46.910168,-20.096118,906001153063_1062947
168,3395,6.910168,0.909551,906001153063_2410758
169,3395,-2.089831,17.905055,906001153063_2453866
170,3395,-24.089831,15.906036,906001153063_3374766
171,3395,23.410168,-2.590524,906001153063_203312
172,3395,29.910168,7.408813,906001153063_7909807
173,3395,-1.289832,8.008686,906001153063_2300660
174,3395,18.910168,14.906477,906001153063_2434508
175,3395,-15.089831,11.907611,906001153063_2372248
176,3395,-15.589831,13.407079,906001153063_2413451
177,3395,7.910168,9.908218,906001153063_2328926
178,3395,16.910168,-22.097388,906001153063_3355338
179,3395,-11.589831,8.408596,906001153063_2403846
180,3395,-14.339831,14.406685,906001153063_2245662
181,3395,42.410168,11.740996,906001153063_223816
182,3395,-10.589831,20.153789,906001153063_2378080
183,3395,57.493498,-20.3963,906001153063_934292
184,3395,0.993498,8.575227,906001153063_2363686
185,3395,10.410168,1.609526,906001153063_2309096
186,3395,34.910168,-6.090929,906001153063_149590
187,3395,39.410168,8.908477,906001153063_337996
188,3395,23.910168,-22.097388,906001153063_933860
189,3395,34.910168,-18.345127,906001153063_1036973
190,3395,29.910168,-3.590606,906001153063_433561
191,3395,11.660168,-1.090452,906001153063_2400553
192,3395,8.910168,17.905055,906001153063_2440476
