"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"DuytfjSVGhWo8ooY7XdxjX","906001153039","","2006","D","USD","4633383.52832"
"prUeL8JfJJ28suXUZsgyGP","906001153041","","2006","D","USD","11618209.1973"
"iBkkB9Rn5LREWwUxFGGj7W","906001153043","","2007","D","USD","3931735.85717"
"WYhE5BGCaNWqLQmhXopwt9","906001153045","","2007","D","USD","3914820.39148"
"3oZN28D77z7GSNGQmc2NW7","906001153047","","2011","D","USD","1946541.68722"
"xyApG3w2c2cRoReeoAnCBG","906001153049","","2010","D","USD","2755658.00503"
"WNX2JEWgsQxHwNCs75hg8A","906001153053","","2010","D","USD","1918199.91618"
"PsqHM7KcoYh62nUh7z8QCX","906001153055","","2011","D","USD","2146028.61371"
"hJgekE4Lx4UdevjrjCeyzb","906001153057","","2011","D","USD","1840157.86877"
"KzNLjaSg75g2GdcyjpCCNV","906001153059","","2009","D","USD","7408191.343"
"hAUu3gbsWw8mJ4pAE7PeW5","906001153061","","2009","D","USD","9207323.5263"
"FcsQ5irDwrrnw2vihrCteR","906001153063","","2010","D","USD","3914301.1316"
"uLZFNMpW4xCBuhbFaWT7RR","906001153067","","2011","D","USD","2332150.96201"
"o9QXKSnk7WdFhVqpKsGKNN","906001153069","","2004","D","USD","6103515.625"
"JgMgPP3RtchwMhSshkNcxD","906001153077","","2010","D","USD","4526404.02347"
"KwLq4Q9knnbGeFtZQ7Nqyj","906001153079","","2006","D","USD","5136910.69153"
"6DfsjQ8BXPq7RBYAL2tJf3","906001153083","","2010","D","USD","6038348.70075"
"NyFCSP9cMbzwxYXXUyEhDW","906001153085","","2009","D","USD","7926764.73701"
"DSXh5dWpDXGVpzhNtVygfN","906001153087","","2009","D","USD","7768017.77966"
"pHG4pKSP6UCeGXYR7enDJN","906001153089","","2009","D","USD","3809926.9764"
"d4RZzn7epzjFhNVh9Fe8YM","906001153099","","2010","D","USD","4468776.19447"
"M8JSYTRMaWiLdC3xG5Uu8o","906001153101","","2010","D","USD","2857769.27913"
"FB4TG4c8yqfvQ7qwxVffJB","906001153111","","2007","D","USD","7528500.75285"
"JpnB7w3vuQXmxqjsGLJa92","906001153155","","2010","D","USD","7334450.96396"
"pNHf83wP9NpxutQ5HWa6hX","906001153159","","2008","D","USD","3584596.47685"
"quaHxNWqgXfAqGVD4mqwoH","906001153161","","2011","D","USD","5051352.73804"
"yis7GJmR27J9LSAo9y3kAH","906001153163","","2011","D","USD","4484459.7928"
"dKBYfGBRXrGCtLPYFgdcD7","906001153173","","2011","D","USD","4933399.11199"
"mgkuzABGaCkYGmNAHvJnCT","906001153175","","2011","D","USD","2664035.52047"
"HrqMveR5B3aULc3D8DtGkY","906001153177","","2009","D","USD","4233252.196"
"umJuaR2Sfs4QVgeeu4SUKT","906001153183","","2009","D","USD","3259604.19092"
"qLFfPqHEV4sTEfDDiEZxPL","906001153185","","2010","D","USD","6286672.25482"
"xaT6HzVHA7UJLE22V8gSmU","906001153187","","2010","D","USD","6667749.37133"
"quebe6wXeoF7CkvorPZiQY","906001153189","","2009","D","USD","2133805.69372"
"JEi2YCQZGmECUKAmxNh5kg","906001153195","","2010","D","USD","2667072.50629"
"mdbzjQsVCfiGn3P7tXzVDJ","906001153199","","2012","D","USD","4439882.89925"
"PErxdKDs6wTecvyCR2grS4","906001153201","","2014","D","USD","2884848.0"
"Q2HCRQkkTBEVjQ2EjqVHRf","906001153205","","2010","D","USD","6285018.86002"
"c5GWxtBhCxqHt8HpAuYUqi","906001153213","","2010","D","USD","7250539.60604"
"tFroKZSdvmTNNCbg8HWhoD","906001153215","","2012","D","USD","2771047.84979"
"dT9Qv223Mz5XLDPNAxXzEa","906001153217","","2009","D","USD","5848518.36173"
"LsYrRo4iAx6z3nV2gR9DAA","906001153219","","2007","D","USD","5377500.53775"
"d43xGg6VueGYy8JSvy3FCV","906001153223","","2011","D","USD","7104094.72126"
"gMsLEgexkvoeCojFVZRDNR","906001153227","","2007","D","USD","7528500.75285"
"9eKsNTQ8QG3VFWSac9VNoh","906001153237","","2009","D","USD","11641443.539"
"3Xw97VgAkrMXGVYbMtFZq2","906001153243","","2004","D","USD","35400390.625"
"NejTHzKQXBCc949mxQJF6G","906001153247","","2009","D","USD","7408191.343"
"bcYTAV34HsG3XnuoiaRKzN","906001153251","","2006","D","USD","8108421.17456"
"zvuv656oakYtWZzPnvUfL6","906001152851","","2016","C","USD","2229405.86334"
"bDBuRQR22xQ7rGGg9M6dum","906001152853","","2015","C","USD","2037918.84963"
"Uk9N585ioodMWaLYD7pgt5","906001152855","","2015","C","USD","1924516.77628"
"LiEPi9wqswtKf6PURyJAhh","906001152865","","2011","C","USD","804144.055254"
"8rYyeku9RiTjN2PsPCmDri","906001152867","","2010","C","USD","958717.51886"
"jYogVxayCkPLkpZ4yrycXA","906001152873","","2014","C","USD","1045000.0"
"8pqCDQn3d6FrgkLDJLUB7b","906001152875","","2010","C","USD","953478.625314"
"BbDHyvLGdcuXo57ZnesvmW","906001152877","","2015","C","USD","2117935.57017"
"LSrVwHKExejRBtJjXcnmt3","906001152903","","2014","C","USD","1826484.0"
"MGLDqN9Kq5DRoTkjYXdoz9","906001152925","","2015","C","USD","860459.257608"
"fVjfYxL4Pa2ZkLjUQkZxF8","906001152929","","2005","C","USD","1158614.07249"
"pFytBQZJBtaeGbMQFG993L","906001152933","","2005","C","USD","855858.801232"
"mJdXQr74YDPdCo7ftexx9A","906001152937","","2007","C","USD","1021725.10217"
"KEGeecyRsojLeXgLSkPzHX","906001152941","","2015","C","USD","1498893.09999"
"Gk6UhRkPYQ4VyzTuNRzoZQ","906001152943","","2015","C","USD","970794.78319"
"5oJEaofQYEoV6ae7MQJzhD","906001152947","","2007","C","USD","1048612.60486"
"cBLqUXxFzHzokAuTyupm4P","906001152949","","2014","C","USD","2000000.0"
"GHxNDQwiicrw8PjBqadCKN","906001152957","","2016","C","USD","1447976.81418"
"unWPcuRJgfHKmfyXJr3EuV","906001152959","","2008","C","USD","1003687.01352"
"xRehDyE9PESiRYMgJSwPPQ","906001152961","","2015","C","USD","2117935.57017"
"kQtftMCbwkNiGiQmbsM3K9","906001152963","","2014","C","USD","1999601.0"
"XoWPbnVPWWn6Bh3b4i5cke","906001152979","","2005","C","USD","1154939.58778"
"nR8yhkeWbgGBGfHFhg3g5K","906001152981","","2007","C","USD","1022111.20671"
"MoFtZ2bSz6FGcejC2us4nj","906001152983","","2005","C","USD","1184553.42336"
"kNtmhpgpKLZDRVAeRsaRjE","906001152985","","2007","C","USD","1048612.60486"
"yUBoyKLCzm4H4Y8YcTDSx7","906001152987","","2008","C","USD","972961.90086"
"B2Jkb68drUuCDTxgw87YxY","906001152991","","2007","C","USD","26887.5026888"
"EJpVrUQLykd5yhp7kd3axn","906001152997","","2016","C","USD","814395.27366"
"dZHGRNvubTrDgZGfsuhb6W","906001153003","","2007","C","USD","1075500.10755"
"ajxYzTAbdDLMpg5vjijFoC","906001153017","","2005","C","USD","1119402.98507"
"5gikV7WsQHSHA8NdMuQDrD","906001153023","","2010","C","USD","953478.625314"
"qRetk3MXUPrMFssPqyFxoj","906001153051","","2015","C","USD","1806175.45424"
"mBX67dR8FruxL9mcHWhB8F","906001153073","","2015","C","USD","2095641.51154"
"sRg8Q5VoZCA4294C6UXEc8","906001153075","","2015","C","USD","2011815.85108"
"AbviUw97Eb6PyCd789f3JL","906001153091","","2009","C","USD","1047729.91851"
"6Qu7cHKuH4vdVitKULruxK","906001153095","","2009","C","USD","1058313.049"
"HnY38MmbVHtF3z4FqLKNXG","906001153151","","2011","C","USD","947212.629502"
"gmkCDaUR8Sr8LWRN6NexeX","906001153153","","2009","C","USD","1058313.049"
"wNqzfADQreVUTTZbYuyfrV","906001153157","","2008","C","USD","819336.337567"
"gWVQJUA8G9PHBwkNkK4zWP","906001153165","","2010","C","USD","685818.315172"
"keb3rAvPyLoHrh7qZtnNiR","906001153167","","2010","C","USD","699151.299246"
"mpyBsnhbkxhSzRZ7hL9ec6","906001153171","","2014","C","USD","2000000.0"
"zqAgk2eAzt7dnm6xRzhP53","906001153179","","2009","C","USD","965595.30109"
"YwJdy6dFvBSfDfLe9xUntj","906001153181","","2012","C","USD","1009489.19847"
"CsY2bAcwt3beRKNySm6Xzb","906001153191","","2005","C","USD","1154732.29093"
"Af3fHnLhnzrHVhtZWFEbi9","906001153193","","2011","C","USD","937345.831278"
"LaNz3Phn9ujVGFGZujJeAT","906001153197","","2004","C","USD","1127929.6875"
"gJ7XSiC2e8eGi8Zo2asPJV","906001153203","","2009","C","USD","1058313.049"
"gNeecwWJG2nLVyfwoaf2iT","906001153207","","2009","C","USD","317493.9147"
"AdZNAyjmhNmWpBoo3pzT8F","906001153209","","2014","C","USD","917431.0"
"zNuqTTwCumswYJYpihgkUM","906001153211","","2014","C","USD","1756880.0"
"6ivuC9HgziZeQEwn4aLMyN","906001153221","","2015","C","USD","1437814.06755"
"CU6H9rYWgYxbLCrbueGmiQ","906001153225","","2006","C","USD","738097.996062"
"ZQfN4oNN6RH6T9jLxSJ3sQ","906001153229","","2006","C","USD","594231.437507"
"wH8hNgb2D2VBfsxZRFMgBh","906001153231","","2015","C","USD","1934187.93891"
"qu56c5gR2DszkJfgxbfzJE","906001153233","","2014","C","USD","792832.0"
"ZmbYaWkAqpJ4LddeBH8THe","906001153235","","2007","C","USD","1024467.62745"
"9WGf7mJvYZpyivgBRpvfcf","906001153239","","2015","C","USD","737536.506521"
"GcHGA7ym3pYCyNBYbepsYe","906001153245","","2016","C","USD","1029410.32215"
"SxbUqFqhe4Mf7nCyWCdxzg","906001153249","","2009","C","USD","1005397.39655"
"FkKqN5BV7tw6WCCEZBv7tX","906001153253","","2002","C","USD","1360544.21769"
"YRg2jjgTJtEvyyficWyKUe","906001152851","","2016","D","USD","2229405.86334"
"eY4SNoLCnVPiwsB3H5V5uk","906001152853","","2015","D","USD","2037918.84963"
"vbPXAkegV6ec7CVdgSTj53","906001152855","","2015","D","USD","1924516.77628"
"cJBiPsSdgVi3EUK8R3HFRG","906001152865","","2011","D","USD","804144.055254"
"hnCmyE5yELsBWUeAgTEmoL","906001152867","","2010","D","USD","958717.51886"
"gPy6XxstAsAtaT4cUEr5gn","906001152873","","2014","D","USD","1045000.0"
"N2kwPd7m2FfkQf3BTengPo","906001152875","","2010","D","USD","961264.668902"
"SuWLrbA5UoXyBdGWCfg2sK","906001152877","","2015","D","USD","2117935.57017"
"Y4gSZmG7RREb3VpqREhTGn","906001152903","","2014","D","USD","1826484.0"
"guSdf5XL5Zpqos4eaCEffi","906001152925","","2015","D","USD","860459.257608"
"7YTTz2Co4khhJVmcvneZdn","906001152937","","2007","D","USD","1021725.10217"
"LqPNRzSL4ULnxMciJpJ8Yf","906001152941","","2015","D","USD","1498893.09999"
"XkqdhqpHtom2HkHNjHBq4B","906001152943","","2015","D","USD","970794.78319"
"36rusujfgir8SKaqChokUY","906001152947","","2007","D","USD","1048612.60486"
"Ehp8wAB5HN9DeXfv7xuvCk","906001152949","","2014","D","USD","2000000.0"
"Xdzx5cGkJKY2XJtsa9ojF3","906001152957","","2016","D","USD","1447976.81418"
"pt4aq4MX9rMBnpFroDVDej","906001152961","","2015","D","USD","2117935.57017"
"kV3wYXDuyXewubZ2xvRgFf","906001152963","","2014","D","USD","1999601.0"
"QBfqTRLLZFv9Q3QAhjXrcD","906001152981","","2007","D","USD","1022111.20671"
"Uo7Wa9X6CoPADMxsMB2CvS","906001152985","","2007","D","USD","1048612.60486"
"AKapMKxuFoAg6bpQgxMKsY","906001152987","","2008","D","USD","972961.90086"
"inCXKwWYLZmbiafmAnwwuH","906001152997","","2016","D","USD","814395.27366"
"d6TJ6QPJ25i3Yc5JcsJSrm","906001153003","","2007","D","USD","1075500.10755"
