Project ID,WDPA ID,,,,,,Protected Area Information,,,Additional Information,,,
PMIS GEF ID,WDPA ID1,WDPA ID2,WDPA ID3,WDPA ID4,Found on PP?,Notes,Protected Area Name,Country,Area,More Than 1 WDPA ID?,Name of PA in Documentation,Direct Investment (US$),Notes
243,306780,,,,Y,,Calakmul Biosphere Reserve,Mexico,,,,,
243,902281,,,,Y,," Sian Ka’an Ramsar Site, Wetland of International Importance",Mexico,,,,,
245,7447,,,,Y,,Sehlabathebe National Park,Lesotho,,N,,,
245,,,,,N,May fall under Lesotho NP (WDPA ID 20294),Masitise Nature Reserve,Lesotho,,N,,,
245,,,,,N,May fall under Lesotho NP (WDPA ID 20294),Tsehlanyane National Park,Lesotho,,N,,,
245,,,,,N,May fall under Lesotho NP (WDPA ID 20294),Bokong Nature Reserve,Lesotho,,N,,,
250,,,,,N,http://www.khongor-expedition.com/index.php?option=com_content&view=category&layout=blog&id=41&Itemid=131,Dariganga National Park,Mongolia,,N,,,
347,,,,,N,,Bismarck-Ramu ,Papua New Guinea,,,,,
347,,,,,N,,Lak,Papua New Guinea,,,,,
348,236,2554,,,Y,,Darien National Park,Panama,,Y,,,
348,17183,,,,Y,,Canglón Reserve,Panama,,N,,,
348,107372,,,,Y,,Filo del Tallo Reserve,Panama,,N,,,
350,26606,26605,,,Y,,Makalu-Barun National Park,Nepal,,,,$2.60,
352,26087,27598,9011,,Y,,Minneriya ,Sri Lanka,,,,,
352,1363,899,11142,,Y,,Yala ,Sri Lanka,,,,,
352,11582,902524,68201,,Y,,Bundala ,Sri Lanka,,,,,
352,901,,,,Y,,Udawalawe ,Sri Lanka,,,,,
352,1364,,,,Y,,Wasgomuwa,Sri Lanka,,,,,
352,9006,,,,Y,,Lunugamwehera ,Sri Lanka,,,,,
364,163,,,,Y,,Chirripó ,Costa Rica,,,,,
364,164,,,,Y,,Corcovado ,Costa Rica,,,,,
364,,,,,N,,La Amistad National Parks ,Costa Rica,,,,,
400,17231,,,,Y,,Ajloun,Jordan,,N,,,
400,,,,,N,,Muwaqqar,,,N,,,
400,,,,,N,Village http://en.wikipedia.org/wiki/Arsal,Aarsal,Lebanon,,N,,,
400,,,,,N,Village http://en.wikipedia.org/wiki/Baalbek,Baalbek,Lebanon,,N,,,
400,,,,,N,,Jennin,,,N,,,
400,,,,,N,City http://en.wikipedia.org/wiki/Hebron,Hebron,,,N,,,
400,,,,,N,,Al-haffe,Syria,,N,,,
400,,,,,N,,Sweida,,,N,,,
403,902505,315502,,,Y,,Utwe-Walung,Micronesia,,Y,,0.15,
403,315547,902678,,,Y,,Jaluit Atoll,Marshall Islands,,Y,,0.077,
403,4253,,,,Y,,Kiritimati Atoll (Christmas Island) Multi/Multiple Use Conservation Area,Kiribati,,N,Kiritimati,0.116,
403,10538,,,,Y,,Arnavon Islands Marine Conservation Area,Solomon Islands,,N,Arnarvon Islands,0.162,
403,61918,,,,Y,,Huvalu Forest,Niue,,N,,0.25,
403,145496,,,,Y,,Funafuti Conservation Area,Tuvalu,,N,Funafuti,0.17,
403,145497,,,,Y,,Takitumu Other Area,Cook Islands,,N,Takitumu,0.23,
403,145498,,,,Y,,Uafato,Samoa,,N,,0.116,
403,145499,,,,Y,,Vatthe Forest Conservation Area,Vanuatu,,N,Vatth,0.28,
403,313371,,,,Y,,Sa'anapu-Sataoa,Samoa,,N,,0.123,
403,315513,,,,Y,,Pohnpei Watershed Forest Reserve,Micronesia,,N,Pohnpei,0.15,
403,315541,,,,Y,,Koroyanitu,Fiji,,N,,0.167,
403,315553,,,,Y,,Ha'apai Multi/Multiple Use Conservation Area,Tonga,,N,Ha’apai Islands,0.3,
403,315600,,,,Y,,North Tarawa,Kiribati,,N,,0.155,
403,316913,,,,Y,,Komarindi,Solomon Islands,,N,,0.13,
403,902511,,,,Y,,Ngaremeduu,Palau,,N,,0.102,
403,555547992,,,,Y,,Rock Islands Southern Lagoon World Heritage Site,Palau,,N,Rock Islands,0.052,
406,40826,,,,Y,,Ankasa National Park,Ghana,,N,,,
406,,,,,N,,Amanzuri Lagoon,Ghana,,N,,,
406,,,,,N,,The Berga Wetlands,Ethiopia,,N,,,
406,,,,,N,http://en.wikipedia.org/wiki/Ngovayang,Ngovayang,Cameroon,,N,,,
406,,,,,N,,Mbam Minkom,Cameroon,,N,,,
407,33162,33331,33327,,Y,,Zomba,Malawi,,Y,,,
407,4652,,,,Y,,Maputo,Mozambique,,N,,,
407,,,,,N,City http://en.wikipedia.org/wiki/Cape_Town,Cape Town,,,N,,,
407,,,,,N,City http://en.wikipedia.org/wiki/Windhoek,Windhoek,,,N,,,
407,,,,,N,Is this a Botanical Gardens? http://protectedplanet.net/sites/Harare_National_Botanical_Gardens_Botanical_Garden,Harare,,,N,,,
407,,,,,N,Town http://en.wikipedia.org/wiki/Gaborone,Gaborone,,,N,,,
407,,,,,N,Town http://en.wikipedia.org/wiki/Pretoria,Pretoria,,,N,,,
408,597,,,,Y,,Boucle de la Pendjari National Park,Benin,,N,Pendjari National Park,,
408,12201,,,,Y,,W National Park,Benin,,N,,,
409,11686,17713,,,Y,,"Baie de Khnifiss Ramsar Site, Wetland of International Importance",Morocco,,,Lagune de Khnifiss,,
409,4114,555544281,,,Y,,Toubkal National Park,Morocco,,,Parc National du Toubkal,,
409,31073,555544282,,,Y,,Haut Atlas Oriental National Park,Morocco,,,Parc National du Haut Atlas Oriental Site,,
409,29969,,,,Y,,Al Hoceima National Park,Morocco,,,,,
409,555542497,,,,Y,,Chekhar Site of Biological and Ecological Interest (SIBE),Morocco,,,Chekhar,,
409,555542497,,,,Y,,Khenifiss,Morocco,,,,,
409,555544176,,,,Y,,Aghbar Site of Biological and Ecological Interest (SIBE),Morocco,,,Aghbar,,
409,555544196,,,,Y,,Bou Iblane II Site of Biological and Ecological Interest (SIBE),Morocco,,,"Moyen Atlas : Jbel Tichoukt, Bou Naceur, Bou Iblane",,
409,555544197,,,,Y,,Bou Naceur Site of Biological and Ecological Interest (SIBE),Morocco,,,"Moyen Atlas : Jbel Tichoukt, Bou Naceur, Bou Iblane",,
409,555544227,,,,Y,,Jbel Moussa Site of Biological and Ecological Interest (SIBE),Morocco,,,Jbel Moussa,,
409,555544231,,,,Y,,Jbel Bouhachem Site of Biological and Ecological Interest (SIBE),Morocco,,,Bouhachem,,
409,555544232,,,,Y,,Jbel Gourougou Site of Biological and Ecological Interest (SIBE),Morocco,,,Grouz,,
409,555544240,,,,Y,,Jbel Tichoukt Site of Biological and Ecological Interest (SIBE),Morocco,,,"Moyen Atlas : Jbel Tichoukt, Bou Naceur, Bou Iblane",,
409,555544299,,,,Y,,Tamga Site of Biological and Ecological Interest (SIBE),Morocco,,,Tamga,,
458,945,,,,Y,,Köprülü Kanyon National Park,Turkey,West,N,,$0.30,Only small grants are broken down into PA's direct investment
458,15585,,,,Y,,Sultan Sazligi,Turkey,Central,N,,$0.20,Only small grants are broken down into PA's direct investment
458,17539,,,,Y,,Igneada,Turkey,North-west,N,,$0.18,Only small grants are broken down into PA's direct investment
458,555549444,,,,Y,,Camili,Turkey,North-east,N,,$0.28,Only small grants are broken down into PA's direct investment
466,12494,,,,Y,,El Imposible y El Balsamero National Park,El Salvador,,N,El Imposible,,
466,107388,,,,Y,,Cerro Verde Natural Area,El Salvador,,N,Los Volcanes (Cerro Verde),,
488,313205,313211,,,Y,,Kobuleti State Nature Reserve,Georgia,,Y,,$2.54,EST. KOLKHETI NAT'L PARK & KOBULETI NATURE RESERVE ($2.54)
488,1666,,,,Y,,Kolkheti National Park,Georgia,,N,,$2.54,EST. KOLKHETI NAT'L PARK & KOBULETI NATURE RESERVE ($2.54)
490,40002,,,,Y,,Kibale National Park,Uganda,West,N,,$0.25,
495,15602,,,,Y,,Kopački rit Nature Park,Croatia,East,N,,,"Only discloses how much was invested in biodiversity and not into which particular PA, project focuses on 2 PA's"
495,67867,,,,Y,,Kopački rit Wetland,Croatia,East,N,,,"Only discloses how much was invested in biodiversity and not into which particular PA, project focuses on 2 PA's"
496,12225,,,,Y,,Fresh Water Creek Forest Reserve,Belize,,N,,,
496,20226,,,,Y,,Shipstern Nature Reserve,Belize,,N,,,
496,28850,,,,Y,,Maya Mountain Forest Reserve,Belize,,N,,Maya,
496,306780,,,,Y,,Calakmul Biosphere Reserves,Mexico,,N,,,
499,12225,,,,Y,,Freshwater Creek Forest Reserve,Belize,,N,,,
499,34313,,,,Y,,Five Blues National Park,Belize,,N,,,
499,99656,,,,Y,,Sapodilla Cayes Marine Reserve,Belize,,N,,,
499,301908,,,,Y,,Caye Caulker Marine Reserve,Belize,,N,,,
499,301911,,,,Y,,Gales Point Wildlife Sanctuary,Belize,,N,,,
