"","gef_id","wdpa_id","lat","lon"
"1247","601","","",""
"1248","601","","",""
"1249","601","","",""
"1250","620","20011","",""
"1251","620","2037","",""
"1252","620","303898","",""
"1253","620","","",""
"1254","620","36","",""
"1255","620","","",""
"1256","620","","",""
"1257","620","","",""
"1258","620","9308","",""
"1259","620","","",""
"1260","620","","",""
"1261","620","","",""
"1262","620","20039","",""
"1263","620","","",""
"1264","620","","",""
"1265","620","","",""
"1266","620","32866","",""
"1267","620","","",""
"1268","620","","",""
"1269","620","","",""
"1270","620","303883","",""
"1271","620","","",""
"1272","620","","",""
"1273","620","","",""
"1274","620","303886","",""
"1275","620","","",""
"1276","620","","",""
"1277","620","","",""
"1278","620","303891","",""
"1279","620","","",""
"1280","620","","",""
"1281","620","","",""
"1282","620","303893","",""
"1283","620","","",""
"1284","620","","",""
"1285","620","","",""
"1286","620","","",""
"1287","620","","",""
"1288","620","","",""
"1289","620","","",""
"1290","621","68862","",""
"1291","621","","",""
"1292","621","","",""
"1293","621","","",""
"1294","623","96032","",""
"1295","623","67737","",""
"1296","623","900685","",""
"1297","623","","",""
"1298","623","95471","",""
"1299","623","","",""
"1300","623","","",""
"1301","623","","",""
"1302","623","315662","",""
"1303","623","","",""
"1304","623","","",""
"1305","623","","",""
"1306","623","315728","",""
"1307","623","","",""
"1308","623","","",""
"1309","623","","",""
"1310","623","","",""
"1311","623","","",""
"1312","623","","",""
"1313","623","","",""
"1314","623","","",""
"1315","623","","",""
"1316","623","","",""
"1317","623","","",""
"1318","625","","",""
"1319","625","","",""
"1320","625","","",""
"1321","625","","",""
"1322","625","","",""
"1323","625","","",""
"1324","625","","",""
"1325","625","","",""
"1326","625","","",""
"1327","625","","",""
"1328","625","","",""
"1329","625","","",""
"1330","625","","",""
"1331","625","","",""
"1332","625","","",""
"1333","625","","",""
"1334","640","220264","35.633333","-15.933333"
"1335","640","","",""
"1336","640","","",""
"1337","640","","",""
"1338","642","9816","",""
"1339","642","","",""
"1340","642","","",""
"1341","642","","",""
"1342","642","","",""
"1343","642","","",""
"1344","642","","",""
"1345","642","","",""
"1346","642","","",""
"1347","642","","",""
"1348","642","","",""
"1349","642","","",""
"1350","644","18062","",""
"1351","644","","",""
"1352","644","","",""
"1353","644","","",""
"1354","648","7942","",""
"1355","648","","",""
"1356","648","","",""
"1357","648","","",""
"1358","648","","",""
"1359","648","","",""
"1360","648","","",""
"1361","648","","",""
"1362","651","249","",""
"1363","651","68138","",""
"1364","651","","",""
"1365","651","","",""
"1366","651","61767","",""
"1367","651","","",""
"1368","651","","",""
"1369","651","","",""
"1370","651","98245","",""
"1371","651","","",""
"1372","651","","",""
"1373","651","","",""
"1374","651","168280","",""
"1375","651","","",""
"1376","651","","",""
"1377","651","","",""
"1378","651","303321","",""
"1379","651","","",""
"1380","651","","",""
"1381","651","","",""
"1382","653","95368","124.05","10.266667"
"1383","653","","",""
"1384","653","","",""
