"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","chg.forest.km.outcome","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"1760",3188.0480957031,2765.8745117188,95.9955271565,1.878241539,140.9352517986,33.7635040283,0,58.8072325499,-4.88927,-44.78865,413.7,4,126.95,27.6,25.3,26.425,0.3643031785,4096.32226562,1,303.553449824877,0.728071150956649,0.728071150956649,416.928276070303,0.728071150956649,-10.0444758689726,5091,"Mainstreaming Biodiversity Conservation and Sustainable Use into NTFP and AFS Production Practices in Multiple-Use Forest Landscapes of High Conservation Value"
"1761",2165.1206054688,6292.8271484375,140.9349904398,2.2579674721,172.2311435523,28.8987483978,0,63.7312874543,-4.98137,-44.991,382.775,2.95,110.10625,28,25.5,26.6020833333,0.2785714286,3920.43432617,1,305.089044332352,0.677689887647162,0.677689887647162,450.189754773493,0.677689887647162,-10.0444758689726,5091,"Mainstreaming Biodiversity Conservation and Sustainable Use into NTFP and AFS Production Practices in Multiple-Use Forest Landscapes of High Conservation Value"
"1765",1765.5889892578,1663.6473388672,110.1330774152,2.2151832581,118.3961352657,35.9914588928,0,44.0482771875,-4.78496,-44.91232,396.3,2.3,120.5208333333,27.75,25.4,26.525,1.1707317073,3970.55322266,1,310.309497282128,0.718099774390295,0.718099774390295,432.125880481717,0.718099774390295,-10.0444758689726,5091,"Mainstreaming Biodiversity Conservation and Sustainable Use into NTFP and AFS Production Practices in Multiple-Use Forest Landscapes of High Conservation Value"
"1775",2885.8171386719,3827.9201660156,114.4255455712,1.8950722218,137.4460784314,21.574131012,0,68.4966630508,-5.00747,-44.73158,392.7,3.9,114.0958333333,27.9,25.45,26.5375,0.6682692308,4085.82861328,1,299.792053398145,0.699157537074821,0.699157537074821,428.790419184257,0.699157537074821,-10.0444758689726,5091,"Mainstreaming Biodiversity Conservation and Sustainable Use into NTFP and AFS Production Practices in Multiple-Use Forest Landscapes of High Conservation Value"
"1779",1538.2744140625,1367.5484619141,94.067905189,1.4957015514,104.4902439024,19.5385379791,0,73.1764014713,-4.82567,-44.47506,394.5,2.35,115.2916666667,27.6,25.4,26.4666666667,0,4126.14453125,1,303.622532284392,0.712632514325642,0.712632514325642,426.057647077341,0.712632514325642,-10.0444758689726,5091,"Mainstreaming Biodiversity Conservation and Sustainable Use into NTFP and AFS Production Practices in Multiple-Use Forest Landscapes of High Conservation Value"
"1803",2594.5808105469,1890.1186523438,18.3596491228,0.8855249882,119.4186602871,133.7292938232,1,51.3303638228,19.18906,-69.71369,181.5,33.2,115.425,29.1,26.3,27.9,3.2517321016,3776.40771484,1,313.53612347608,0.874635641077277,0.874635641077277,358.476271433327,0.874635641077277,-10.0444758689726,5088,"Conserving Biodiversity in Coastal Areas Threatened by Rapid Tourism and Physical Infrastructure Development  "
"1833",1522.2041015625,1023.4420776367,1037.0487528345,0.5722418427,137.6982758621,5.1594386101,0,0.8339224886,-29,24,76.775,0,30.6916666667,25.325,9.45,19.1791666667,0.2908704883,2165.7824707,1,313.663901005434,0.285750694758891,0.285750694758891,1097.68377385782,0.285750694758891,12.659949625198,4937,"Strengthening Law Enforcement Capabilities to Combat Wildlife Crime for Conservation and Sustainable Use of Species in South Africa (target: Rhinoceros)"
"1952",4375.0068359375,872.2952270508,10.424359969,0.3841002882,101.3511904762,147.9525909424,0,3.9928036501,-2.63415,-80.32596,NA,NA,NA,NA,NA,NA,8.4350961539,1505.15527344,1,314.066565664273,NA,NA,NA,NA,12.659949625198,4770,"Integrated Management of Marine and Coastal Areas of High Value for Biodiversity in Continental Ecuador"
"1995",160581.375,612.6008300781,11.9520958084,0.247418344,133.6866359447,78.1898193359,0,14.6796938192,13.865,-90.40861,NA,NA,NA,NA,NA,NA,0.3938679245,3003.22363281,1,312.636090599221,NA,NA,NA,NA,12.659949625198,4716,"Conservation and Sustainable Use of Biodiversity in Coastal and Marine Protected Areas (MPAs)"
"2021",0,15000,186,0.154685854911804,976,0.646142184734344,1,99,-14.6454,-66.306477,250.6,34,135.216666666667,28.8,22.4,26.4583333333333,0,4196.41601562,1,314.159265358979,0.803782043697309,0.803782043697309,390.851310778082,0.803782043697309,-10.0444758689726,NA,""
