"","var","n","wt","dev","yval","complexity","ncompete","nsurrogate"
"9","gpw_v3_density.2000.mean",43,43,3932764778.20566,-169.501868431928,0.00454104764996745,4,5
"18","srtm_elevation_500m.na.mean",12,12,891028194.561614,-120.396226414494,0.00370579285485794,4,5
"36","udel_precip_v4_01_yearly_max.2002.mean",6,6,538712281.514267,-261.5364747458,0.00294281669935108,4,5
"72","<leaf>",2,2,1178296.42695549,-71.1430374901,0,0,0
"73","<leaf>",4,4,327726707.271907,-365.950592667067,0,0,0
"37","<leaf>",6,6,88112467.689379,92.41950133984,0,0,0
"19","<leaf>",31,31,2717983885.73398,-378.765184402034,0,0,0
"5","udel_precip_v4_01_yearly_mean.2002.mean",428,428,31236937772.793,7.41435675955069,0.0205931227011884,4,5
"10","udel_precip_v4_01_yearly_mean.2002.mean",415,415,28994262682.5665,-2.87836793794046,0.0205931227011884,4,5
"20","dist_to_all_rivers.na.mean",200,200,19597906068.7854,-43.5710462757028,0.00797459074893101,4,0
"40","udel_precip_v4_01_yearly_max.2002.mean",197,197,18863377101.1191,-34.2438136413289,0.00797459074893101,4,5
"80","srtm_elevation_500m.na.mean",26,26,2941738726.1767,-348.524730241488,0.00797459074893101,4,5
"160","years_since_implementation",16,16,1943233185.65092,-650.167827374192,0.0072407167675598,4,5
"320","<leaf>",11,11,781143360.415301,-804.108864829144,4.99051325426026e-06,0,0
