"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","iba_distance","GEF.Project.Grant.CEO.endorse.stage","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"386",2687.8745117188,6708.6625976563,448.3347280335,2.4343307018,277.456,53.7690849304,0,0.1802395755,36.2500587,9.5,93.8,12,36.9375,28.35,8.7,18.6833333333,0.3762376238,1364.57299805,0.717471448136,5e+06,1,3,0.594640394477987,0.594640394477987,5.04506593877396,0.594640394477987,2.87617998212688,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"387",2632.5537109375,3635.1374511719,649.4327731092,3.0461666584,144.092,53.7741775513,0,0.508580207,36.0000578,9.33333,93.85,12.7,38.1333333333,26.9,6.85,16.9583333333,3.0798403194,1517.86230469,0.70340185726,5e+06,1,3,0.592159830388448,0.592159830388448,5.06619977588153,0.592159830388448,2.87617998212688,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"388",1833.0096435547,2821.3740234375,378.4752217006,2.7325725555,124.8523622047,59.2143478394,0,2.8103767209,36.3405588,9.32037767,103.7,12.9,40.275,28.8,8.8,18.9333333333,2.1663326653,1413.86315918,0.895751239083,5e+06,1,0,0.629581390654977,0.629581390654977,0,0.629581390654977,2.87617998212688,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"389",1709.5297851563,3900.1879882813,273.5906005222,2.1193933487,170.8079207921,57.5090255737,0,1.4941844958,36.3654091,9.46114,93.8,12,36.9375,28.35,8.7,18.6833333333,1.484063745,1412.37219238,0.773849919624,5e+06,1,3,0.578511387422851,0.578511387422851,5.18572333271499,0.578511387422851,2.87617998212688,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"390",3285.8081054688,3718.2700195313,779.3803261441,3.1539640427,180.3535353535,60.7113456726,0,5.780738182,35.796767,9.38447,84,12.5,35.9916666667,25,4.9,14.9833333333,1.7564356436,1504.48510742,0.557965153383,5e+06,1,3,0.654195524895556,0.654195524895556,4.58578496158157,0.654195524895556,2.87617998212688,2709,"MENARID: Support to Sustainable Land Management in the Siliana Governorate"
"392",1860.4219970703,4286.5034179688,1432.2977272727,0.5891350508,273.9978448276,8.0596723557,0,0,28.5000366,60.5,19.5,0,4.0166666667,30.375,7.975,20.2854166667,0.3736730361,824.684265137,8.42654446943,4320000,1,2,0.983559962464542,0.983559962464542,2.03342965993505,0.983559962464542,-2.17123630566007,2732,"MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management"
"394",3260.6987304688,7318.5185546875,1351.6296296296,4.8794503212,411.5819327731,3.2632479668,0,0,32.5000466,55.58333,34.775,0,9.1583333333,31.9,6.3,19.6729166667,0.5917525773,729.928833008,7.87607239133,4320000,1,1,0.971085630163491,0.971085630163491,1.02977530398801,0.971085630163491,-2.17123630566007,2732,"MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management"
"396",4456.1416015625,15291.619140625,1610.961790393,3.6042096615,776.7226890756,2.8258359432,0,0,32.0167152,56.15,23.25,0,6.95,30.75,5.7,18.6875,0,931.054870605,8.07832186037,4320000,1,0,0.972930186634857,0.972930186634857,0,0.972930186634857,-2.17123630566007,2732,"MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management"
"399",1791.34375,7662.8505859375,1540.7150655022,0.76265347,271.6911764706,78.0678253174,0,0,32.0000452,53,64.4,10.9,32.9291666667,28.225,7.25,17.8395833333,0,823.807800293,5.37512613858,4320000,1,1,0.992693228183665,0.992693228183665,1.00736055370268,0.992693228183665,-2.17123630566007,2732,"MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management"
"400",2153.1413574219,2049.1801757813,937.2484210526,1.6003733873,186.008,5.2810468674,1,0,35.500056,55,87.65,10.8,40.1375,29.575,5.9,18.2104166667,0.6327345309,870.87890625,6.78631086001,4320000,1,1,0.957865886331955,0.957865886331955,1.04398748746486,0.957865886331955,-2.17123630566007,2732,"MENARID: Institutional Strengthening and Coherence for Integrated Natural Resources Management"
